Striker_Id,Runs,Strike Rate,Sixes,Fours
62,1323,129.0731707317073,49,110
63,399,111.45251396648044,15,33
64,1808,118.7910643889619,40,200
65,368,118.32797427652733,18,34
66,124,121.56862745098039,8,8
67,513,111.27982646420824,15,49
68,56,73.68421052631578,0,2
69,128,164.1025641025641,8,13
70,81,176.08695652173913,6,7
71,1262,122.28682170542635,48,102
72,24,109.09090909090908,1,2
73,41,65.07936507936508,1,3
74,739,107.10144927536231,9,94
75,7,58.333333333333336,0,0
76,73,93.58974358974359,1,6
77,34,59.64912280701754,0,6
78,4,133.33333333333331,0,1
79,1218,114.4736842105263,44,84
80,89,89.8989898989899,2,6
81,304,106.66666666666667,9,20
82,179,111.87499999999999,5,13
83,113,103.6697247706422,1,7
84,37,80.43478260869566,1,2
85,2675,117.63412489006157,51,285
86,52,106.12244897959184,0,5
87,1324,110.14975041597337,28,121
88,2542,121.51051625239006,60,256
89,326,119.41391941391942,12,24
90,177,142.74193548387098,9,12
91,15,53.57142857142857,0,0
92,8,72.72727272727273,0,0
93,280,109.375,7,28
94,166,103.1055900621118,3,14
95,304,113.85767790262172,16,23
96,1827,115.19546027742749,53,169
97,886,105.8542413381123,31,83
98,11,122.22222222222223,0,1
99,3,37.5,0,0
100,2225,129.73760932944606,73,233
101,423,120.17045454545455,10,56
102,36,116.12903225806453,1,3
103,193,112.20930232558139,2,30
104,1400,121.42237640936686,43,122
105,39,205.26315789473685,5,1
106,19,45.23809523809524,0,1
107,196,114.61988304093566,3,27
108,145,126.08695652173914,3,21
109,975,136.93820224719101,55,61
110,3270,146.57104437471986,142,275
111,40,148.14814814814815,1,5
112,375,115.38461538461537,9,35
113,117,142.6829268292683,6,10
114,192,104.91803278688525,3,26
115,20,111.11111111111111,1,1
116,22,68.75,0,1
117,3,50.0,0,0
118,4,80.0,0,1
119,36,120.0,2,1
120,99,130.26315789473685,8,6
121,20,66.66666666666666,0,1
122,11,57.89473684210527,0,2
123,13,100.0,0,1
124,35,71.42857142857143,0,3
